area|target|taker|trx|rev|deliv|deliv_taker
AREA 1|885422|73|75|5360877.0|327271|17
AREA 2|1405149|140|147|9435558.0|445216|23
AREA 3|1251290|87|88|6803870.0|368299|9
AREA 4|1117562|115|117|8369907.0|406155|25
