region|target|taker|trx|rev|deliv|deliv_taker
Sumbagut|316379|21|21|1416326.0|116429|10
Sumbagteng|295269|29|31|2517074.0|109155|4
Sumbagsel|273774|23|23|1427477.0|101687|3
Western Jabotabek|228778|21|23|1619612.0|71658|2
Central Jabotabek|425958|39|43|2977968.0|139493|7
Eastern Jabotabek|407210|34|34|1931250.0|125858|2
Jabar|343203|46|47|2906728.0|108207|12
Jateng|467190|28|28|2005918.0|130027|5
Jatim|590037|36|36|2781340.0|176703|3
Balnus|194063|23|24|2016612.0|61569|1
Kalimantan|563380|52|54|3910918.0|200371|14
Sulawesi|388778|36|36|2793224.0|140567|5
Puma|165404|27|27|1665765.0|65217|6
