event_date|total_trx|cumulative_total_trx|target_trx|cumulative_target_trx|gap_taker|total_rev|cumulative_total_rev|target_rev|cumulative_target_rev|gap_rev
2025-09-01|79|30051|648.0|30698.0|-647.0|7048189.0|2880552586.0|78035279.0|2820388820.0|60163766.0
2025-09-02|83|30151|648.0|31346.0|-1195.0|6142030.0|2887754687.0|78035279.0|2898424099.0|-10669412.0
2025-09-03|233|30347|648.0|31994.0|-1647.0|13244250.0|2898997784.0|78035279.0|2976459378.0|-77461594.0
2025-09-04|69|30445|648.0|32643.0|-2198.0|5011626.0|2905972869.0|78035279.0|3054494657.0|-148521788.0
2025-09-05|361|30838|648.0|33291.0|-2453.0|20793448.0|2928654470.0|78035279.0|3132529936.0|-203875466.0
